Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Churn,Predicted_Churn,Churn_Probability (%),Risk_Level,Customer_Status
12346.0,165,11,372.86,1,At-Risk Customers,1,0.0,0.0,Low Risk,Active
12347.0,3,2,1323.32,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12348.0,74,1,222.16,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12349.0,43,3,2671.14,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12351.0,11,1,300.93,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12352.0,11,2,343.8,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12353.0,44,1,317.76,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12355.0,203,1,488.21000000000004,1,At-Risk Customers,1,0.0,0.0,Low Risk,Active
12356.0,16,3,3562.25,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12357.0,24,2,12079.99,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12358.0,11,3,2719.01,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12359.0,61,6,2563.36,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12360.0,15,5,1590.83,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12361.0,98,3,321.35,0,Regular Customers,1,0.0,0.0,Low Risk,Active
12362.0,374,1,130.0,1,At-Risk Customers,1,1.0,100.0,High Risk,Churned
12366.0,269,1,500.24,1,At-Risk Customers,1,0.0,0.0,Low Risk,Active
12368.0,264,1,917.6999999999999,1,At-Risk Customers,1,0.0,0.0,Low Risk,Active
12369.0,49,3,1791.15,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12370.0,260,3,774.62,1,At-Risk Customers,1,0.0,0.0,Low Risk,Active
12371.0,45,3,2179.42,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12373.0,260,2,763.0500000000001,1,At-Risk Customers,1,0.0,0.0,Low Risk,Active
12374.0,57,3,2246.29,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12376.0,25,2,503.15,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12377.0,17,2,1798.2,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12378.0,198,1,1407.7,1,At-Risk Customers,1,0.0,0.0,Low Risk,Active
12379.0,58,2,767.98,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12380.0,101,7,6951.49,0,Regular Customers,1,1.0,100.0,High Risk,Churned
12385.0,15,1,1938.4,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12386.0,2,1,258.9,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12387.0,51,1,143.94,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12388.0,81,2,1120.45,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12389.0,38,3,1433.33,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12391.0,100,5,2312.53,0,Regular Customers,1,1.0,100.0,High Risk,Churned
12392.0,227,1,234.75000000000003,1,At-Risk Customers,1,1.0,100.0,High Risk,Churned
12393.0,18,2,816.85,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12395.0,7,4,2048.64,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12396.0,310,1,931.43,1,At-Risk Customers,1,0.0,0.0,Low Risk,Active
12399.0,21,3,853.65,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12400.0,50,1,205.25,0,Regular Customers,0,0.0,0.0,Low Risk,Active
12402.0,28,5,1031.3,0,Regular Customers,0,0.0,0.0,Low Risk,Active
